'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:18.505 06/02/2013]',4.344
'[23:27:18.505 06/02/2013]',4.781
'[23:27:18.506 06/02/2013]',5.219
'[23:27:18.506 06/02/2013]',5.656
'[23:27:18.507 06/02/2013]',6.125
'[23:27:18.507 06/02/2013]',6.563
'[23:27:18.508 06/02/2013]',7.031
'[23:27:18.508 06/02/2013]',7.469
'[23:27:18.509 06/02/2013]',7.938
'[23:27:18.509 06/02/2013]',8.406
'[23:27:18.510 06/02/2013]',8.844
'[23:27:18.510 06/02/2013]',9.313
'[23:27:18.511 06/02/2013]',9.781
'[23:27:18.511 06/02/2013]',10.250
'[23:27:18.512 06/02/2013]',10.719
'[23:27:18.512 06/02/2013]',11.188
'[23:27:18.513 06/02/2013]',11.656
'[23:27:18.513 06/02/2013]',12.125
'[23:27:18.514 06/02/2013]',12.594
'[23:27:18.514 06/02/2013]',13.063
'[23:27:18.515 06/02/2013]',13.500
'[23:27:18.515 06/02/2013]',13.969
'[23:27:18.516 06/02/2013]',14.406
'[23:27:18.516 06/02/2013]',14.813
'[23:27:18.517 06/02/2013]',15.219
'[23:27:18.517 06/02/2013]',15.625
'[23:27:18.518 06/02/2013]',16.000
'[23:27:18.518 06/02/2013]',16.375
'[23:27:18.519 06/02/2013]',16.688
'[23:27:18.519 06/02/2013]',17.000
'[23:27:18.520 06/02/2013]',17.313
'[23:27:18.520 06/02/2013]',17.563
'[23:27:18.521 06/02/2013]',17.781
'[23:27:18.521 06/02/2013]',18.000
'[23:27:18.521 06/02/2013]',18.156
'[23:27:18.522 06/02/2013]',18.313
'[23:27:18.522 06/02/2013]',18.406
'[23:27:18.523 06/02/2013]',18.500
'[23:27:18.523 06/02/2013]',18.531
'[23:27:18.524 06/02/2013]',18.563
'[23:27:18.524 06/02/2013]',18.531
'[23:27:18.525 06/02/2013]',18.469
'[23:27:18.525 06/02/2013]',18.375
'[23:27:18.526 06/02/2013]',18.250
'[23:27:18.526 06/02/2013]',18.125
'[23:27:18.527 06/02/2013]',17.938
'[23:27:18.527 06/02/2013]',17.719
'[23:27:18.528 06/02/2013]',17.469
'[23:27:18.528 06/02/2013]',17.188
'[23:27:18.529 06/02/2013]',16.875
'[23:27:18.529 06/02/2013]',16.531
'[23:27:18.530 06/02/2013]',16.188
'[23:27:18.530 06/02/2013]',15.781
'[23:27:18.531 06/02/2013]',15.375
'[23:27:18.531 06/02/2013]',14.969
'[23:27:18.532 06/02/2013]',14.500
'[23:27:18.532 06/02/2013]',14.063
'[23:27:18.533 06/02/2013]',13.563
'[23:27:18.533 06/02/2013]',13.094
'[23:27:18.534 06/02/2013]',12.594
'[23:27:18.534 06/02/2013]',12.094
'[23:27:18.535 06/02/2013]',11.594
'[23:27:18.535 06/02/2013]',11.094
'[23:27:18.536 06/02/2013]',10.625
'[23:27:18.536 06/02/2013]',10.125
'[23:27:18.537 06/02/2013]',9.656
'[23:27:18.537 06/02/2013]',9.219
'[23:27:18.538 06/02/2013]',8.781
'[23:27:18.538 06/02/2013]',8.375
'[23:27:18.539 06/02/2013]',8.000
'[23:27:18.539 06/02/2013]',7.625
'[23:27:18.540 06/02/2013]',7.313
'[23:27:18.540 06/02/2013]',7.000
'[23:27:18.541 06/02/2013]',6.750
'[23:27:18.541 06/02/2013]',6.500
'[23:27:18.542 06/02/2013]',6.313
'[23:27:18.542 06/02/2013]',6.156
'[23:27:18.542 06/02/2013]',6.031
'[23:27:18.543 06/02/2013]',5.969
'[23:27:18.543 06/02/2013]',5.906
'[23:27:18.544 06/02/2013]',5.906
'[23:27:18.544 06/02/2013]',5.938
'[23:27:18.545 06/02/2013]',6.000
'[23:27:18.545 06/02/2013]',6.094
'[23:27:18.546 06/02/2013]',6.219
'[23:27:18.546 06/02/2013]',6.375
'[23:27:18.547 06/02/2013]',6.594
'[23:27:18.547 06/02/2013]',6.813
'[23:27:18.548 06/02/2013]',7.063
'[23:27:18.548 06/02/2013]',7.344
'[23:27:18.549 06/02/2013]',7.625
'[23:27:18.549 06/02/2013]',7.938
'[23:27:18.550 06/02/2013]',8.281
'[23:27:18.550 06/02/2013]',8.594
'[23:27:18.551 06/02/2013]',8.969
'[23:27:18.551 06/02/2013]',9.313
'[23:27:18.552 06/02/2013]',9.688
'[23:27:18.552 06/02/2013]',10.063
'[23:27:18.553 06/02/2013]',10.438
'[23:27:18.553 06/02/2013]',10.781
'[23:27:18.554 06/02/2013]',11.156
'[23:27:18.554 06/02/2013]',11.500
'[23:27:18.555 06/02/2013]',11.875
'[23:27:18.555 06/02/2013]',12.188
'[23:27:18.556 06/02/2013]',12.531
'[23:27:18.556 06/02/2013]',12.844
'[23:27:18.557 06/02/2013]',13.156
'[23:27:18.557 06/02/2013]',13.438
'[23:27:18.558 06/02/2013]',13.688
'[23:27:18.558 06/02/2013]',13.969
'[23:27:18.559 06/02/2013]',14.188
'[23:27:18.559 06/02/2013]',14.406
'[23:27:18.560 06/02/2013]',14.594
'[23:27:18.560 06/02/2013]',14.781
'[23:27:18.561 06/02/2013]',14.969
'[23:27:18.561 06/02/2013]',15.125
'[23:27:18.562 06/02/2013]',15.250
'[23:27:18.562 06/02/2013]',15.375
'[23:27:18.563 06/02/2013]',15.469
'[23:27:18.563 06/02/2013]',15.563
'[23:27:18.563 06/02/2013]',15.656
'[23:27:18.564 06/02/2013]',15.719
'[23:27:18.564 06/02/2013]',15.781
'[23:27:18.565 06/02/2013]',15.813
'[23:27:18.565 06/02/2013]',15.875
'[23:27:18.566 06/02/2013]',15.906
'[23:27:18.566 06/02/2013]',15.938
'[23:27:18.567 06/02/2013]',15.938
'[23:27:18.567 06/02/2013]',15.969
'[23:27:18.568 06/02/2013]',15.969
'[23:27:18.568 06/02/2013]',15.969
'[23:27:18.569 06/02/2013]',15.969
'[23:27:18.569 06/02/2013]',15.938
'[23:27:18.570 06/02/2013]',15.906
'[23:27:18.570 06/02/2013]',15.875
'[23:27:18.571 06/02/2013]',15.844
'[23:27:18.571 06/02/2013]',15.781
'[23:27:18.572 06/02/2013]',15.688
'[23:27:18.572 06/02/2013]',15.625
'[23:27:18.573 06/02/2013]',15.531
'[23:27:18.573 06/02/2013]',15.406
'[23:27:18.574 06/02/2013]',15.281
'[23:27:18.574 06/02/2013]',15.156
'[23:27:18.575 06/02/2013]',15.000
'[23:27:18.575 06/02/2013]',14.844
'[23:27:18.576 06/02/2013]',14.656
'[23:27:18.576 06/02/2013]',14.469
'[23:27:18.577 06/02/2013]',14.250
'[23:27:18.577 06/02/2013]',14.000
'[23:27:18.578 06/02/2013]',13.781
'[23:27:18.578 06/02/2013]',13.500
'[23:27:18.579 06/02/2013]',13.250
'[23:27:18.579 06/02/2013]',12.938
'[23:27:18.580 06/02/2013]',12.656
'[23:27:18.580 06/02/2013]',12.313
'[23:27:18.581 06/02/2013]',12.000
'[23:27:18.581 06/02/2013]',11.625
'[23:27:18.582 06/02/2013]',11.250
'[23:27:18.582 06/02/2013]',10.875
'[23:27:18.583 06/02/2013]',10.469
'[23:27:18.583 06/02/2013]',10.031
'[23:27:18.583 06/02/2013]',9.594
'[23:27:18.584 06/02/2013]',9.125
'[23:27:18.584 06/02/2013]',8.656
'[23:27:18.585 06/02/2013]',8.156
'[23:27:18.585 06/02/2013]',7.656
'[23:27:18.586 06/02/2013]',7.156
'[23:27:18.586 06/02/2013]',6.656
'[23:27:18.587 06/02/2013]',6.125
'[23:27:18.587 06/02/2013]',5.625
'[23:27:18.588 06/02/2013]',5.094
'[23:27:18.588 06/02/2013]',4.594
'[23:27:18.589 06/02/2013]',4.125
'[23:27:18.589 06/02/2013]',3.656
'[23:27:18.590 06/02/2013]',3.219
'[23:27:18.590 06/02/2013]',2.844
'[23:27:18.591 06/02/2013]',2.469
'[23:27:18.591 06/02/2013]',2.156
'[23:27:18.592 06/02/2013]',1.875
'[23:27:18.592 06/02/2013]',1.656
'[23:27:18.593 06/02/2013]',1.469
'[23:27:18.593 06/02/2013]',1.375
'[23:27:18.594 06/02/2013]',1.313
'[23:27:18.594 06/02/2013]',1.344
'[23:27:18.595 06/02/2013]',1.438
'[23:27:18.595 06/02/2013]',1.594
'[23:27:18.596 06/02/2013]',1.813
'[23:27:18.596 06/02/2013]',2.125
'[23:27:18.597 06/02/2013]',2.500
'[23:27:18.597 06/02/2013]',2.938
'[23:27:18.598 06/02/2013]',3.469
'[23:27:18.598 06/02/2013]',4.063
'[23:27:18.599 06/02/2013]',4.688
'[23:27:18.599 06/02/2013]',5.406
'[23:27:18.600 06/02/2013]',6.188
'[23:27:18.600 06/02/2013]',7.031
'[23:27:18.601 06/02/2013]',7.938
'[23:27:18.601 06/02/2013]',8.875
'[23:27:18.602 06/02/2013]',9.844
'[23:27:18.602 06/02/2013]',10.844
'[23:27:18.603 06/02/2013]',11.906
'[23:27:18.603 06/02/2013]',12.969
'[23:27:18.604 06/02/2013]',14.031
'[23:27:18.604 06/02/2013]',15.125
'[23:27:18.604 06/02/2013]',16.250
'[23:27:18.605 06/02/2013]',17.344
'[23:27:18.605 06/02/2013]',18.406
'[23:27:18.606 06/02/2013]',19.469
'[23:27:18.606 06/02/2013]',20.500
'[23:27:18.607 06/02/2013]',21.532
'[23:27:18.607 06/02/2013]',22.500
'[23:27:18.608 06/02/2013]',23.407
'[23:27:18.608 06/02/2013]',24.282
'[23:27:18.609 06/02/2013]',25.094
'[23:27:18.609 06/02/2013]',25.844
'[23:27:18.610 06/02/2013]',26.500
'[23:27:18.610 06/02/2013]',27.094
'[23:27:18.611 06/02/2013]',27.625
'[23:27:18.611 06/02/2013]',28.063
'[23:27:18.612 06/02/2013]',28.407
'[23:27:18.612 06/02/2013]',28.657
'[23:27:18.613 06/02/2013]',28.813
'[23:27:18.613 06/02/2013]',28.875
'[23:27:18.614 06/02/2013]',28.844
'[23:27:18.614 06/02/2013]',28.719
'[23:27:18.615 06/02/2013]',28.500
'[23:27:18.615 06/02/2013]',28.188
'[23:27:18.616 06/02/2013]',27.750
'[23:27:18.616 06/02/2013]',27.250
'[23:27:18.617 06/02/2013]',26.657
'[23:27:18.617 06/02/2013]',26.000
'[23:27:18.618 06/02/2013]',25.219
'[23:27:18.618 06/02/2013]',24.407
'[23:27:18.619 06/02/2013]',23.532
'[23:27:18.619 06/02/2013]',22.563
'[23:27:18.620 06/02/2013]',21.594
'[23:27:18.620 06/02/2013]',20.563
'[23:27:18.621 06/02/2013]',19.469
'[23:27:18.621 06/02/2013]',18.406
'[23:27:18.622 06/02/2013]',17.281
'[23:27:18.622 06/02/2013]',16.188
'[23:27:18.623 06/02/2013]',15.063
'[23:27:18.623 06/02/2013]',13.969
'[23:27:18.624 06/02/2013]',12.875
'[23:27:18.624 06/02/2013]',11.844
'[23:27:18.625 06/02/2013]',10.813
'[23:27:18.625 06/02/2013]',9.844
'[23:27:18.625 06/02/2013]',8.906
'[23:27:18.626 06/02/2013]',8.031
'[23:27:18.626 06/02/2013]',7.219
'[23:27:18.627 06/02/2013]',6.469
'[23:27:18.627 06/02/2013]',5.781
'[23:27:18.628 06/02/2013]',5.188
'[23:27:18.628 06/02/2013]',4.656
'[23:27:18.629 06/02/2013]',4.188
'[23:27:18.629 06/02/2013]',3.813
'[23:27:18.630 06/02/2013]',3.500
'[23:27:18.630 06/02/2013]',3.281
'[23:27:18.631 06/02/2013]',3.156
'[23:27:18.631 06/02/2013]',3.094
'[23:27:18.632 06/02/2013]',3.094
'[23:27:18.632 06/02/2013]',3.188
'[23:27:18.633 06/02/2013]',3.375
'[23:27:18.633 06/02/2013]',3.594
'[23:27:18.634 06/02/2013]',3.906
'[23:27:18.634 06/02/2013]',4.281
'[23:27:18.635 06/02/2013]',4.719
'[23:27:18.635 06/02/2013]',5.219
'[23:27:18.636 06/02/2013]',5.781
'[23:27:18.636 06/02/2013]',6.375
'[23:27:18.637 06/02/2013]',7.031
'[23:27:18.637 06/02/2013]',7.750
'[23:27:18.638 06/02/2013]',8.500
'[23:27:18.638 06/02/2013]',9.250
'[23:27:18.639 06/02/2013]',10.063
'[23:27:18.639 06/02/2013]',10.906
'[23:27:18.640 06/02/2013]',11.781
'[23:27:18.640 06/02/2013]',12.656
'[23:27:18.641 06/02/2013]',13.531
'[23:27:18.641 06/02/2013]',14.438
'[23:27:18.642 06/02/2013]',15.344
'[23:27:18.642 06/02/2013]',16.250
'[23:27:18.643 06/02/2013]',17.156
'[23:27:18.643 06/02/2013]',18.063
'[23:27:18.644 06/02/2013]',18.969
'[23:27:18.644 06/02/2013]',19.844
'[23:27:18.645 06/02/2013]',20.688
'[23:27:18.645 06/02/2013]',21.532
'[23:27:18.646 06/02/2013]',22.313
'[23:27:18.646 06/02/2013]',23.094
'[23:27:18.646 06/02/2013]',23.844
'[23:27:18.647 06/02/2013]',24.563
'[23:27:18.647 06/02/2013]',25.250
'[23:27:18.648 06/02/2013]',25.907
'[23:27:18.648 06/02/2013]',26.500
'[23:27:18.649 06/02/2013]',27.032
'[23:27:18.649 06/02/2013]',27.563
'[23:27:18.650 06/02/2013]',28.032
'[23:27:18.650 06/02/2013]',28.438
'[23:27:18.651 06/02/2013]',28.813
'[23:27:18.651 06/02/2013]',29.125
'[23:27:18.652 06/02/2013]',29.407
'[23:27:18.652 06/02/2013]',29.625
'[23:27:18.653 06/02/2013]',29.782
'[23:27:18.653 06/02/2013]',29.875
'[23:27:18.654 06/02/2013]',29.938
'[23:27:18.654 06/02/2013]',29.938
'[23:27:18.655 06/02/2013]',29.907
'[23:27:18.655 06/02/2013]',29.782
'[23:27:18.656 06/02/2013]',29.625
'[23:27:18.656 06/02/2013]',29.438
'[23:27:18.657 06/02/2013]',29.157
'[23:27:18.657 06/02/2013]',28.844
'[23:27:18.658 06/02/2013]',28.500
'[23:27:18.658 06/02/2013]',28.063
'[23:27:18.659 06/02/2013]',27.594
'[23:27:18.659 06/02/2013]',27.094
'[23:27:18.660 06/02/2013]',26.532
'[23:27:18.660 06/02/2013]',25.938
'[23:27:18.661 06/02/2013]',25.282
'[23:27:18.661 06/02/2013]',24.594
'[23:27:18.662 06/02/2013]',23.875
'[23:27:18.662 06/02/2013]',23.125
'[23:27:18.663 06/02/2013]',22.344
'[23:27:18.663 06/02/2013]',21.500
'[23:27:18.664 06/02/2013]',20.657
'[23:27:18.664 06/02/2013]',19.782
'[23:27:18.665 06/02/2013]',18.875
'[23:27:18.665 06/02/2013]',17.969
'[23:27:18.666 06/02/2013]',17.031
'[23:27:18.666 06/02/2013]',16.094
'[23:27:18.667 06/02/2013]',15.156
'[23:27:18.667 06/02/2013]',14.219
'[23:27:18.667 06/02/2013]',13.250
'[23:27:18.668 06/02/2013]',12.313
'[23:27:18.668 06/02/2013]',11.375
'[23:27:18.669 06/02/2013]',10.469
'[23:27:18.669 06/02/2013]',9.563
'[23:27:18.670 06/02/2013]',8.688
'[23:27:18.670 06/02/2013]',7.844
'[23:27:18.671 06/02/2013]',7.031
'[23:27:18.671 06/02/2013]',6.250
'[23:27:18.672 06/02/2013]',5.500
'[23:27:18.672 06/02/2013]',4.813
'[23:27:18.673 06/02/2013]',4.188
'[23:27:18.673 06/02/2013]',3.594
'[23:27:18.674 06/02/2013]',3.094
'[23:27:18.674 06/02/2013]',2.625
'[23:27:18.675 06/02/2013]',2.188
'[23:27:18.675 06/02/2013]',1.844
'[23:27:18.676 06/02/2013]',1.563
'[23:27:18.676 06/02/2013]',1.375
'[23:27:18.677 06/02/2013]',1.219
'[23:27:18.677 06/02/2013]',1.125
'[23:27:18.678 06/02/2013]',1.094
'[23:27:18.678 06/02/2013]',1.125
'[23:27:18.679 06/02/2013]',1.250
'[23:27:18.679 06/02/2013]',1.406
'[23:27:18.680 06/02/2013]',1.625
'[23:27:18.680 06/02/2013]',1.875
'[23:27:18.681 06/02/2013]',2.188
'[23:27:18.681 06/02/2013]',2.563
'[23:27:18.682 06/02/2013]',2.969
'[23:27:18.682 06/02/2013]',3.406
'[23:27:18.683 06/02/2013]',3.875
'[23:27:18.683 06/02/2013]',4.406
'[23:27:18.684 06/02/2013]',4.938
'[23:27:18.684 06/02/2013]',5.469
'[23:27:18.685 06/02/2013]',6.063
'[23:27:18.685 06/02/2013]',6.656
'[23:27:18.686 06/02/2013]',7.250
'[23:27:18.686 06/02/2013]',7.844
'[23:27:18.687 06/02/2013]',8.438
'[23:27:18.687 06/02/2013]',9.031
'[23:27:18.688 06/02/2013]',9.625
'[23:27:18.688 06/02/2013]',10.219
'[23:27:18.688 06/02/2013]',10.781
'[23:27:18.689 06/02/2013]',11.344
'[23:27:18.689 06/02/2013]',11.875
'[23:27:18.690 06/02/2013]',12.406
'[23:27:18.690 06/02/2013]',12.875
'[23:27:18.691 06/02/2013]',13.344
'[23:27:18.691 06/02/2013]',13.781
'[23:27:18.692 06/02/2013]',14.156
'[23:27:18.692 06/02/2013]',14.531
'[23:27:18.693 06/02/2013]',14.844
'[23:27:18.693 06/02/2013]',15.125
'[23:27:18.694 06/02/2013]',15.375
'[23:27:18.694 06/02/2013]',15.594
'[23:27:18.695 06/02/2013]',15.750
'[23:27:18.695 06/02/2013]',15.875
'[23:27:18.696 06/02/2013]',15.969
'[23:27:18.696 06/02/2013]',16.000
'[23:27:18.697 06/02/2013]',16.031
'[23:27:18.697 06/02/2013]',16.000
'[23:27:18.698 06/02/2013]',15.906
'[23:27:18.698 06/02/2013]',15.813
'[23:27:18.699 06/02/2013]',15.656
'[23:27:18.699 06/02/2013]',15.500
'[23:27:18.700 06/02/2013]',15.281
'[23:27:18.700 06/02/2013]',15.031
'[23:27:18.701 06/02/2013]',14.750
'[23:27:18.701 06/02/2013]',14.438
'[23:27:18.702 06/02/2013]',14.094
'[23:27:18.702 06/02/2013]',13.750
'[23:27:18.703 06/02/2013]',13.344
'[23:27:18.703 06/02/2013]',12.938
'[23:27:18.704 06/02/2013]',12.500
'[23:27:18.704 06/02/2013]',12.031
'[23:27:18.705 06/02/2013]',11.563
'[23:27:18.705 06/02/2013]',11.063
'[23:27:18.706 06/02/2013]',10.531
'[23:27:18.706 06/02/2013]',10.031
'[23:27:18.707 06/02/2013]',9.500
'[23:27:18.707 06/02/2013]',8.938
'[23:27:18.708 06/02/2013]',8.406
'[23:27:18.708 06/02/2013]',7.875
'[23:27:18.708 06/02/2013]',7.344
'[23:27:18.709 06/02/2013]',6.813
'[23:27:18.709 06/02/2013]',6.281
'[23:27:18.710 06/02/2013]',5.750
'[23:27:18.710 06/02/2013]',5.281
'[23:27:18.711 06/02/2013]',4.781
'[23:27:18.711 06/02/2013]',4.313
'[23:27:18.712 06/02/2013]',3.875
'[23:27:18.712 06/02/2013]',3.469
'[23:27:18.713 06/02/2013]',3.094
'[23:27:18.713 06/02/2013]',2.719
'[23:27:18.714 06/02/2013]',2.375
'[23:27:18.714 06/02/2013]',2.094
'[23:27:18.715 06/02/2013]',1.813
'[23:27:18.715 06/02/2013]',1.563
'[23:27:18.716 06/02/2013]',1.344
'[23:27:18.716 06/02/2013]',1.125
'[23:27:18.717 06/02/2013]',0.969
'[23:27:18.717 06/02/2013]',0.813
'[23:27:18.718 06/02/2013]',0.688
'[23:27:18.718 06/02/2013]',0.563
'[23:27:18.719 06/02/2013]',0.469
'[23:27:18.719 06/02/2013]',0.375
'[23:27:18.720 06/02/2013]',0.313
'[23:27:18.720 06/02/2013]',0.250
'[23:27:18.721 06/02/2013]',0.219
'[23:27:18.721 06/02/2013]',0.188
'[23:27:18.722 06/02/2013]',0.125
'[23:27:18.722 06/02/2013]',0.125
'[23:27:18.723 06/02/2013]',0.094
'[23:27:18.723 06/02/2013]',0.063
'[23:27:18.724 06/02/2013]',0.063
'[23:27:18.724 06/02/2013]',0.063
'[23:27:18.725 06/02/2013]',0.063
'[23:27:18.725 06/02/2013]',0.094
'[23:27:18.726 06/02/2013]',0.094
'[23:27:18.726 06/02/2013]',0.156
'[23:27:18.727 06/02/2013]',0.219
'[23:27:18.727 06/02/2013]',0.281
'[23:27:18.728 06/02/2013]',0.375
'[23:27:18.728 06/02/2013]',0.500
'[23:27:18.729 06/02/2013]',0.625
'[23:27:18.729 06/02/2013]',0.813
'[23:27:18.729 06/02/2013]',1.000
'[23:27:18.730 06/02/2013]',1.250
'[23:27:18.730 06/02/2013]',1.500
'[23:27:18.731 06/02/2013]',1.781
'[23:27:18.731 06/02/2013]',2.125
'[23:27:18.732 06/02/2013]',2.469
'[23:27:18.732 06/02/2013]',2.875
'[23:27:18.733 06/02/2013]',3.281
'[23:27:18.733 06/02/2013]',3.750
'[23:27:18.734 06/02/2013]',4.219
'[23:27:18.734 06/02/2013]',4.719
'[23:27:18.735 06/02/2013]',5.250
'[23:27:18.735 06/02/2013]',5.813
'[23:27:18.736 06/02/2013]',6.375
'[23:27:18.736 06/02/2013]',6.969
'[23:27:18.737 06/02/2013]',7.594
'[23:27:18.737 06/02/2013]',8.188
'[23:27:18.738 06/02/2013]',8.813
'[23:27:18.738 06/02/2013]',9.438
'[23:27:18.739 06/02/2013]',10.063
'[23:27:18.739 06/02/2013]',10.688
'[23:27:18.740 06/02/2013]',11.313
'[23:27:18.740 06/02/2013]',11.906
'[23:27:18.741 06/02/2013]',12.500
'[23:27:18.741 06/02/2013]',13.094
'[23:27:18.742 06/02/2013]',13.656
'[23:27:18.742 06/02/2013]',14.188
'[23:27:18.743 06/02/2013]',14.719
'[23:27:18.743 06/02/2013]',15.219
'[23:27:18.744 06/02/2013]',15.688
'[23:27:18.744 06/02/2013]',16.156
'[23:27:18.745 06/02/2013]',16.563
'[23:27:18.745 06/02/2013]',16.969
'[23:27:18.746 06/02/2013]',17.313
'[23:27:18.746 06/02/2013]',17.625
'[23:27:18.747 06/02/2013]',17.938
'[23:27:18.747 06/02/2013]',18.188
'[23:27:18.748 06/02/2013]',18.375
'[23:27:18.748 06/02/2013]',18.563
'[23:27:18.749 06/02/2013]',18.688
'[23:27:18.749 06/02/2013]',18.813
'[23:27:18.750 06/02/2013]',18.844
'[23:27:18.750 06/02/2013]',18.875
'[23:27:18.750 06/02/2013]',18.844
'[23:27:18.751 06/02/2013]',18.781
'[23:27:18.751 06/02/2013]',18.688
'[23:27:18.752 06/02/2013]',18.531
'[23:27:18.752 06/02/2013]',18.375
'[23:27:18.753 06/02/2013]',18.156
'[23:27:18.753 06/02/2013]',17.906
'[23:27:18.754 06/02/2013]',17.625
'[23:27:18.754 06/02/2013]',17.344
'[23:27:18.755 06/02/2013]',17.031
'[23:27:18.755 06/02/2013]',16.688
'[23:27:18.756 06/02/2013]',16.313
'[23:27:18.756 06/02/2013]',15.938
'[23:27:18.757 06/02/2013]',15.563
'[23:27:18.757 06/02/2013]',15.188
'[23:27:18.758 06/02/2013]',14.813
'[23:27:18.758 06/02/2013]',14.438
'[23:27:18.759 06/02/2013]',14.063
'[23:27:18.759 06/02/2013]',13.688
'[23:27:18.760 06/02/2013]',13.344
'[23:27:18.760 06/02/2013]',13.000
'[23:27:18.761 06/02/2013]',12.688
'[23:27:18.761 06/02/2013]',12.406
'[23:27:18.762 06/02/2013]',12.156
'[23:27:18.762 06/02/2013]',11.906
'[23:27:18.763 06/02/2013]',11.656
'[23:27:18.763 06/02/2013]',11.469
'[23:27:18.764 06/02/2013]',11.281
'[23:27:18.764 06/02/2013]',11.125
'[23:27:18.765 06/02/2013]',10.969
'[23:27:18.765 06/02/2013]',10.844
'[23:27:18.766 06/02/2013]',10.719
'[23:27:18.766 06/02/2013]',10.625
'[23:27:18.767 06/02/2013]',10.500
'[23:27:18.767 06/02/2013]',10.406
'[23:27:18.768 06/02/2013]',10.313
'[23:27:18.768 06/02/2013]',10.188
'[23:27:18.769 06/02/2013]',10.063
'[23:27:18.769 06/02/2013]',9.938
'[23:27:18.770 06/02/2013]',9.781
'[23:27:18.770 06/02/2013]',9.594
'[23:27:18.771 06/02/2013]',9.375
'[23:27:18.771 06/02/2013]',9.125
'[23:27:18.771 06/02/2013]',8.844
'[23:27:18.772 06/02/2013]',8.531
'[23:27:18.772 06/02/2013]',8.188
'[23:27:18.773 06/02/2013]',7.781
'[23:27:18.773 06/02/2013]',7.313
'[23:27:18.774 06/02/2013]',6.844
'[23:27:18.774 06/02/2013]',6.281
'[23:27:18.775 06/02/2013]',5.688
'[23:27:18.775 06/02/2013]',5.063
'[23:27:18.776 06/02/2013]',4.375
'[23:27:18.776 06/02/2013]',3.625
'[23:27:18.777 06/02/2013]',2.844
'[23:27:18.777 06/02/2013]',2.031
'[23:27:18.778 06/02/2013]',1.156
'[23:27:18.778 06/02/2013]',0.250
'[23:27:18.779 06/02/2013]',-0.625
'[23:27:18.779 06/02/2013]',-1.625
'[23:27:18.780 06/02/2013]',-2.625
'[23:27:18.780 06/02/2013]',-3.688
'[23:27:18.781 06/02/2013]',-4.781
'[23:27:18.781 06/02/2013]',-5.875
'[23:27:18.782 06/02/2013]',-7.031
'[23:27:18.782 06/02/2013]',-8.188
'[23:27:18.783 06/02/2013]',-9.344
'[23:27:18.783 06/02/2013]',-10.563
'[23:27:18.784 06/02/2013]',-11.750
'[23:27:18.784 06/02/2013]',-12.969
'[23:27:18.785 06/02/2013]',-14.188
'[23:27:18.785 06/02/2013]',-15.406
'[23:27:18.786 06/02/2013]',-16.625
'[23:27:18.786 06/02/2013]',-17.844
'[23:27:18.787 06/02/2013]',-19.032
'[23:27:18.787 06/02/2013]',-20.219
'[23:27:18.788 06/02/2013]',-21.375
'[23:27:18.788 06/02/2013]',-22.500
'[23:27:18.789 06/02/2013]',-23.563
'[23:27:18.789 06/02/2013]',-24.625
'[23:27:18.790 06/02/2013]',-25.625
'[23:27:18.790 06/02/2013]',-26.563
'[23:27:18.791 06/02/2013]',-27.469
'[23:27:18.791 06/02/2013]',-28.313
'[23:27:18.792 06/02/2013]',-29.063
'[23:27:18.792 06/02/2013]',-29.782
'[23:27:18.792 06/02/2013]',-30.407
'[23:27:18.793 06/02/2013]',-30.938
'[23:27:18.793 06/02/2013]',-31.407
'[23:27:18.794 06/02/2013]',-31.813
'[23:27:18.794 06/02/2013]',-32.125
'[23:27:18.795 06/02/2013]',-32.344
'[23:27:18.795 06/02/2013]',-32.500
'[23:27:18.796 06/02/2013]',-32.563
'[23:27:18.796 06/02/2013]',-32.563
'[23:27:18.797 06/02/2013]',-32.469
'[23:27:18.797 06/02/2013]',-32.282
'[23:27:18.798 06/02/2013]',-32.032
'[23:27:18.798 06/02/2013]',-31.688
'[23:27:18.799 06/02/2013]',-31.282
'[23:27:18.799 06/02/2013]',-30.813
'[23:27:18.800 06/02/2013]',-30.282
'[23:27:18.800 06/02/2013]',-29.688
'[23:27:18.801 06/02/2013]',-29.063
'[23:27:18.801 06/02/2013]',-28.344
'[23:27:18.802 06/02/2013]',-27.594
'[23:27:18.802 06/02/2013]',-26.813
'[23:27:18.803 06/02/2013]',-26.000
'[23:27:18.803 06/02/2013]',-25.157
'[23:27:18.804 06/02/2013]',-24.313
'[23:27:18.804 06/02/2013]',-23.407
'[23:27:18.805 06/02/2013]',-22.532
'[23:27:18.805 06/02/2013]',-21.625
'[23:27:18.806 06/02/2013]',-20.750
'[23:27:18.806 06/02/2013]',-19.875
'[23:27:18.807 06/02/2013]',-19.000
'[23:27:18.807 06/02/2013]',-18.125
'[23:27:18.808 06/02/2013]',-17.313
'[23:27:18.808 06/02/2013]',-16.500
'[23:27:18.809 06/02/2013]',-15.688
'[23:27:18.809 06/02/2013]',-14.938
'[23:27:18.810 06/02/2013]',-14.188
'[23:27:18.810 06/02/2013]',-13.500
'[23:27:18.811 06/02/2013]',-12.813
'[23:27:18.811 06/02/2013]',-12.188
'[23:27:18.812 06/02/2013]',-11.563
'[23:27:18.812 06/02/2013]',-10.969
'[23:27:18.813 06/02/2013]',-10.406
