'Time and date','EEG O1'
'hh:mm:ss.mmm dd/mm/yyyy','uV'
'[23:27:16.067 06/02/2013]',-9.563
'[23:27:16.067 06/02/2013]',-9.938
'[23:27:16.068 06/02/2013]',-10.313
'[23:27:16.068 06/02/2013]',-10.688
'[23:27:16.069 06/02/2013]',-11.031
'[23:27:16.069 06/02/2013]',-11.406
'[23:27:16.070 06/02/2013]',-11.719
'[23:27:16.070 06/02/2013]',-12.063
'[23:27:16.071 06/02/2013]',-12.344
'[23:27:16.071 06/02/2013]',-12.625
'[23:27:16.072 06/02/2013]',-12.875
'[23:27:16.072 06/02/2013]',-13.094
'[23:27:16.073 06/02/2013]',-13.281
'[23:27:16.073 06/02/2013]',-13.438
'[23:27:16.074 06/02/2013]',-13.531
'[23:27:16.074 06/02/2013]',-13.625
'[23:27:16.075 06/02/2013]',-13.656
'[23:27:16.075 06/02/2013]',-13.656
'[23:27:16.076 06/02/2013]',-13.594
'[23:27:16.076 06/02/2013]',-13.500
'[23:27:16.077 06/02/2013]',-13.375
'[23:27:16.077 06/02/2013]',-13.188
'[23:27:16.078 06/02/2013]',-12.969
'[23:27:16.078 06/02/2013]',-12.688
'[23:27:16.079 06/02/2013]',-12.375
'[23:27:16.079 06/02/2013]',-12.031
'[23:27:16.080 06/02/2013]',-11.625
'[23:27:16.080 06/02/2013]',-11.188
'[23:27:16.081 06/02/2013]',-10.719
'[23:27:16.081 06/02/2013]',-10.188
'[23:27:16.082 06/02/2013]',-9.656
'[23:27:16.082 06/02/2013]',-9.063
'[23:27:16.083 06/02/2013]',-8.469
'[23:27:16.083 06/02/2013]',-7.844
'[23:27:16.083 06/02/2013]',-7.188
'[23:27:16.084 06/02/2013]',-6.500
'[23:27:16.084 06/02/2013]',-5.813
'[23:27:16.085 06/02/2013]',-5.125
'[23:27:16.085 06/02/2013]',-4.406
'[23:27:16.086 06/02/2013]',-3.688
'[23:27:16.086 06/02/2013]',-3.000
'[23:27:16.087 06/02/2013]',-2.281
'[23:27:16.087 06/02/2013]',-1.563
'[23:27:16.088 06/02/2013]',-0.844
